path	label	conc	temp	group	rep	read
input/vim2_wt/WT_G3_rep1_S60_R2_001.fastq.gz	wt	na	na	3	1	2
input/vim2_wt/WT_G3_rep2_S72_R1_001.fastq.gz	wt	na	na	3	2	1
input/vim2_wt/WT_G3_rep2_S72_R2_001.fastq.gz	wt	na	na	3	2	2
input/vim2_wt/WT_G4_rep1_S84_R1_001.fastq.gz	wt	na	na	4	1	1
input/vim2_wt/WT_G4_rep1_S84_R2_001.fastq.gz	wt	na	na	4	1	2
input/vim2_wt/WT_G4_rep2_S96_R1_001.fastq.gz	wt	na	na	4	2	1
input/vim2_wt/WT_G4_rep2_S96_R2_001.fastq.gz	wt	na	na	4	2	2
input/vim2_wt/WT_G5_rep1_S108_R1_001.fastq.gz	wt	na	na	5	1	1
input/vim2_wt/WT_G5_rep1_S108_R2_001.fastq.gz	wt	na	na	5	1	2
input/vim2_wt/WT_G5_rep2_S120_R1_001.fastq.gz	wt	na	na	5	2	1
input/vim2_wt/WT_G5_rep2_S120_R2_001.fastq.gz	wt	na	na	5	2	2
input/vim2_wt/WT_G6_rep1_S132_R1_001.fastq.gz	wt	na	na	6	1	1
input/vim2_wt/WT_G6_rep1_S132_R2_001.fastq.gz	wt	na	na	6	1	2
input/vim2_wt/WT_G6_rep2_S144_R1_001.fastq.gz	wt	na	na	6	2	1
input/vim2_wt/WT_G6_rep2_S144_R2_001.fastq.gz	wt	na	na	6	2	2
input/vim2_wt/WT_G7_rep1_S156_R1_001.fastq.gz	wt	na	na	7	1	1
input/vim2_wt/WT_G7_rep1_S156_R2_001.fastq.gz	wt	na	na	7	1	2
input/vim2_wt/WT_G7_rep2_S168_R1_001.fastq.gz	wt	na	na	7	2	1
input/vim2_wt/WT_G7_rep2_S168_R2_001.fastq.gz	wt	na	na	7	2	2
